;id;name;artist;bpm;genre;tonality;dateAdd;album;label;comments;bitRate;size;colour;playCount;location;key
1451;1452;Atomic Blonde (Smith & Brown Remix);Sied Van Riel;70;Trance;Am;2020-04-24;Atomic Blonde - Smith & Brown Remix;Pure Trance NEON;;320;17851906;;1;file://localhost/C:/E+/Trance_20T2/sied-van-riel-atomic-blonde-smith-brown-remix(mp3-top.info).mp3;8A
652;653;Bioluminescense;Figueras;119;Progressive House;Bbm;2021-09-29;Three of a Kind #09;3rd Avenue;;320;16069730;0xffff00;2;file://localhost/C:/E+/21T09_SepMelody/Figueras-Bioluminescense.mp3;3A
383;384;Acceptance;Ruben Karapetyan;120;Progressive House;Bm;2022-02-28;Janus / Acceptance;aboriginal;;320;18622227;;4;file://localhost/C:/E+/22T02_Febrero/Ruben%20Karapetyan-Acceptance.mp3;10A
1922;1923;Ashes In The Wind (Original Mix) ;Sebastien Leger;121;Melodic House & Techno;D;2022-04-16;Secrets EP (28 Feb 2020);All Day I Dream;;1411;106642882;;;file://localhost/C:/Users/kasas/Music/Organic%20House/Sebastien%20Leger%20-%20Ashes%20In%20The%20Wind%20(Original%20Mix)%20%5BAll%20Day%20I%20Dream%5D.aiff;10B
1682;1683;Liria (Kamilo Sanclemente & Mauro Aguirre Remix);Analog Jungs;121;Progressive House;Bm;2020-01-16;Liria;Or Two Strangers;;320;20466041;;3;file://localhost/C:/E+/19T10/Analog%20Jungs%20-%20Liria%20(Kamilo%20Sanclemente%20%26%20Mauro%20Aguirre%20Remix).mp3;10A
1245;1246;Gauntlet (Alex O'Rion Remix);GMJ, Matter;120;Progressive House;Cm;2020-08-16;Gauntlet (incl. Alex O'Rion Remixes);Meanwhile;;320;18268573;;4;file://localhost/C:/E+/20T18/GMJ,%20Matter%20-%20Gauntlet%20(Alex%20O'Rion%20Remix)%20%5BTraxCrate.com%5D.mp3;5A
795;796;Karnaval (Guy Mantzur Remix) ;Eli Nissan;122;Progressive House;Gm;2021-07-14;Karnaval;Lost & Found;***** Temporal;320;18753559;0xffa500;19;file://localhost/C:/E+/21T07_Julio_PN/Eli%20Nissan%20-%20Karnaval%20(Guy%20Mantzur%20Remix)_pn.mp3;6A
512;513;Asante (Original Mix);Andrea Cassino, Lio Q;120;Progressive House;Dm;2021-10-17;Asante;Proton Music;Reload;320;21639850;0xffa500;6;file://localhost/C:/E+/21T10_Oct_JOOF_Others/Andrea%20Cassino,%20Lio%20Q%20-%20Asante%20(Original%20Mix).mp3;7A
590;591;Himalayas;Redspace, Lluis Ribalta;122;Progressive House;Am;2021-09-10;Fantomas Rooftop;Area Verde;;320;17703969;;2;file://localhost/C:/E+/21T09_Sep_AreaVerde/Redspace,%20Lluis%20Ribalta-Himalayas.mp3;8A
1208;1209;Endless Desire (The Wash Remix);Ultraverse;122;Progressive House;Am;2020-10-10;INU the Remixes, Vol. 1;inU;;320;18322225;;1;file://localhost/C:/E+/20T20/Ultraverse%20-%20Endless%20Desire%20(The%20Wash%20Remix).mp3;8A
2105;2106;Off Limit;Weekend Heroes;122;Progressive House;Am;2022-10-09;Off Limit;Mango Alley;;320;14794749;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202210_Progressive_MangoAlley/Weekend%20Heroes-Off%20Limit.mp3;8A
1097;1098;Navagio (2020 Rework);Alex O'Rion;120;Progressive House;Am;2020-12-18;Navagio 2020;ICONYC;;320;19637651;;1;file://localhost/C:/E+/20T24/Alex%20O'Rion%20-%20Navagio%20(2020%20Rework).mp3;8A
1089;1090;Past Motion (Ed Steele Remix);Dylan Deck, Ali Maher, Ed Steele;123;Progressive House;C;2020-12-18;Past Motion;Another Life Music;19_03;320;17583153;0xff007f;8;file://localhost/C:/E+/20T24/Dylan%20Deck,%20Ali%20Maher,%20Ed%20Steele%20-%20Past%20Motion%20(Ed%20Steele%20Remix)%20(Ed%20Steele%20Remix)%20(maximp3.ru).mp3;8B
1242;1243;Imagine (Original Mix);Alex O'Rion, Antrim;120;Progressive House;G;2020-08-16;Imagine / Round Trip;Higher States;;320;18153958;;3;file://localhost/C:/E+/20T18/Alex%20O'Rion,%20Antrim%20-%20Imagine%20(Original%20Mix)%20%5BTraxCrate.com%5D.mp3;9B
2142;2143;What You Expected;ME, Rampa, Adam Port;122;Melodic House & Techno;Em;2022-11-14;Send Return;Keinemusik;;320;16226502;;2;"file://localhost/C:/E+/02-DonwloadsAll/202211_OrganicVarios/%26amp;ME,%20Rampa,%20Adam%20Port-What%20You%20Expected.mp3";9A
751;752;Apollo (Fuenka Extended Remix);Melody Stranger, Sean, Dee;122;Progressive House;Fm;2021-08-20;Apollo (Fuenka Remix);UV;;320;17964536;;5;file://localhost/C:/E+/20T08_Agosto/Melody%20Stranger,%20Sean,%20Dee%20-%20Apollo%20(Fuenka%20Extended%20Remix).mp3;4A
2084;2085;Secret Land (Original Mix);Avidor;124;Progressive House;Fm;2022-10-11;Abyss / Secret Land / Awakening;UV Noir;;320;18026400;0xffa500;1;file://localhost/C:/E+/02-DonwloadsAll/202210_UVNOIR/Avidor-Secret%20Land%20(Original%20Mix).mp3;4A
